DateTime,AddedIPs,RemovedIPs
1492976896,0,1
1492979294,1,0
1492980253,0,1
1492982173,1,0
1492986501,0,1
1492986974,1,0
1492989855,0,2
1492990335,1,0
1492991779,1,0
1492995140,0,1
1492996098,1,0
1492996578,1,1
1492997060,1,0
1492997537,0,2
1492998016,1,1
1492998505,1,1
1492998981,1,0
1492999935,2,1
1493000900,0,1
1493001375,1,0
1493003295,0,1
1493005216,1,0
1493008099,0,1
1493008577,1,0
1493027533,0,1
1493028496,0,4
1493039538,0,1
1493082498,0,3
1493082975,0,7
1493083455,0,5
1493083938,0,6
1493084421,0,17
1493084897,0,13
1493085375,1,10
1493086109,0,14
1493086584,1,6
1493087070,0,10
1493087540,0,6
1493088017,0,10
1493088499,0,8
1493088975,0,6
1493089457,0,12
1493089940,0,14
1493090441,1,8
1493090898,0,12
1493091374,0,11
1493091855,0,9
1493092338,0,13
1493093297,0,27
1493093776,0,6
1493094263,0,7
1493094740,0,7
1493095217,0,1
1493460255,2,0
1493515216,82,1
1493515693,29,0
1493516173,23,0
1493516654,16,0
1493517133,16,0
1493517858,19,0
1493518340,8,0
1493518815,9,0
1493519297,8,0
1493519775,4,0
1493520255,6,0
1493520735,1,0
1493521457,1,0
1493538494,0,1
1493554105,3,0
1493555057,1,0
1493555534,0,1
1493556018,1,0
1493585536,0,2
1493586502,2,0
1493600895,1,0
1493601853,4,0
1493602333,1,2
1493602821,3,1
1493603296,0,1
1493603774,3,1
1493604501,1,0
1493604977,0,1
1493605455,3,1
1493605944,0,1
1493606415,1,0
1493607374,0,1
1493617933,1,0
1493639054,1,0
1493644575,1,0
1493645055,3,0
1493645541,0,3
1493646975,0,1
1493649140,2,0
1493664734,0,1
1493669536,1,1
1493670018,0,1
1493676497,1,0
1493680816,0,1
1493681296,0,1
1493682258,3,0
1493687303,1,0
1493687774,1,1
1493688259,2,2
1493688735,1,2
1493689221,2,1
1493689694,0,1
1493690177,1,2
1493693422,0,3
1493734576,2,3
1493766497,1,0
1493770821,0,2
1493772742,3,0
1493773300,0,2
1493774183,0,2
1493774653,0,3
1493775139,1,0
1493775617,1,2
1493776099,0,2
1493777058,0,1
1493777534,0,1
1493778019,0,4
1493778494,1,0
1493779453,1,0
1493779941,0,1
1493802254,1,0
1493802746,0,1
1493835385,1,0
1493859860,0,1
1493860337,1,1
1493860822,1,1
1493861296,0,1
1493862260,0,2
1493862737,2,0
1493864415,1,0
1493865379,0,1
1493865859,1,0
1493866334,1,0
1493885064,0,1
1493886979,2,0
1493887933,0,1
1493892497,0,1
1493892988,0,1
1493893457,2,0
1493893945,2,0
1493901134,1,0
1493918414,0,1
1493919380,1,0
1493925617,1,0
1493926577,0,3
1493943136,1,2
1493946258,0,3
1493946739,1,3
1493947217,0,1
1493947693,0,2
1493948181,2,1
1493948658,3,3
1493949136,1,0
1493949854,1,1
1493951773,0,1
1493961139,1,0
1493998333,1,0
1493999774,1,0
1494023537,0,2
1494032656,1,0
1494033134,1,0
1494033623,0,5
1494034098,0,1
1494034579,0,2
1494035054,2,3
1494035541,2,2
1494036496,0,2
1494036976,0,2
1494037457,0,1
1494052579,0,1
1494055694,0,1
1494058098,1,0
1494059061,0,1
1494060020,2,0
1494067932,1,0
1494068658,1,2
1494074662,1,0
1494075135,0,1
1494078500,1,0
1494078976,0,1
1494080420,1,2
1494080895,0,1
1494081373,1,0
1494081853,0,1
1494082337,1,0
1494083774,0,1
1494084742,1,0
1494085218,0,1
1494085700,1,0
1494086659,0,1
1494087620,1,0
1494088576,0,1
1494090984,1,0
1494091457,0,1
1494092418,1,0
1494092895,0,1
1494094098,1,0
1494094574,0,1
1494097942,1,0
1494098418,0,1
1494099857,1,0
1494100333,0,1
1494101054,1,0
1494102495,0,1
1494103941,1,0
1494105373,0,1
1494107777,1,0
1494108255,0,1
1494109943,1,0
1494111133,0,1
1494112103,1,0
1494113295,0,1
1494114253,1,0
1494114733,0,1
1494115458,1,0
1494116657,0,1
1494118098,1,0
1494118575,0,1
1494119057,1,2
1494119535,1,3
1494120021,2,0
1494120493,0,4
1494120974,1,0
1494121453,1,1
1494122897,0,2
1494205232,0,1
1494205700,1,2
1494206174,1,0
1494206658,1,2
1494207617,1,2
1494208099,3,1
1494208579,0,1
1494209057,0,1
1494209535,3,2
1494219380,0,1
1494292112,0,1
1494292579,0,1
1494293056,1,2
1494293539,1,2
1494294018,2,2
1494294500,0,2
1494294975,0,1
1494295455,0,1
1494295941,2,3
1494298340,0,1
1494299055,1,0
1494368176,2,2
1494378734,0,1
1494379698,0,1
1494380177,0,1
1494380654,1,2
1494381137,3,1
1494382099,1,0
1494383058,1,0
1494397937,0,8
1494398418,0,1
1494399376,0,6
1494399857,0,6
1494400336,2,0
1494405617,2,0
1494416417,0,1
1494416900,2,0
1494421456,0,2
1494423376,0,3
1494464655,0,1
1494465141,1,0
1494465615,0,1
1494466098,2,1
1494466573,0,1
1494468260,0,4
1494468734,1,1
1494469693,0,1
1494470178,0,1
1494470654,1,1
1494535215,1,1
1494551059,0,3
1494551534,2,1
1494552016,1,0
1494552494,0,1
1494553933,0,1
1494554900,2,1
1494556334,0,1
1494590659,1,1
1494621377,1,1
1494638658,0,1
1494639135,1,0
1494639618,1,1
1494640093,1,0
1494641054,1,0
1494641536,2,2
1494642016,0,1
1494642497,1,0
1494642973,2,3
1494658575,0,1
1494659063,0,2
1494660965,0,182
1494661455,182,0
1494685463,2,9
1494693863,1,1
1494704179,0,1
1494714259,1,0
1494724347,0,1
1494725785,0,1
1494726262,1,0
1494747862,0,1
1494757223,1,0
1494772585,1,0
1494773064,0,1
1494796823,1,0
1494806664,0,1
1494811939,0,2
1494812424,1,0
1494815309,1,0
1494830182,0,1
1494839305,1,0
1494839779,1,1
1494852264,1,1
1494864502,0,1
1494877465,1,0
1494885141,2,2
1494896909,0,1
1494898107,0,2
1494898581,0,1
1494899058,1,0
1494900507,0,1
1494928104,1,1
1494930025,0,1
1494938179,1,0
1494960744,0,1
1494961461,1,1
1494968902,1,0
1494976583,0,1
1494978502,1,0
1494983544,1,0
1494984026,1,1
1494984503,1,1
1494986903,1,0
1495022671,1,1
1495032503,0,1
1495034901,1,0
1495044261,0,1
1495051461,2,1
1495060345,0,1
1495068742,1,0
1495070662,0,1
1495071140,3,0
1495085300,0,1
1495104499,2,1
1495115060,0,1
1495117221,1,0
1495141940,1,2
1495150099,1,0
1495155865,0,1
1495156343,1,1
1495156824,0,1
1495157304,1,0
1495157783,0,1
1495158264,1,0
1495158741,0,1
1495159704,0,1
1495169062,0,1
1495177939,1,0
1495178900,1,0
1495196429,0,1
1495199062,1,0
1495208662,0,1
1495224504,1,0
1495243225,0,1
1495245858,0,1
1495249701,0,1
1495264820,0,2
1495279462,1,0
1495286425,2,0
1495289308,0,1
1495299379,1,0
1495299862,0,1
1495308982,1,0
1495328663,0,1
1495329139,1,1
1495329629,1,1
1495330099,1,1
1495393461,0,1
1495411715,1,0
1495433784,0,1
1495441941,2,0
1495442426,0,1
1495450106,0,1
1495453461,0,1
1495453950,1,1
1495456822,1,0
1495464982,1,1
1495501706,0,1
1495502179,1,1
1495504582,0,1
1495505063,1,0
1495513939,1,0
1495525464,1,2
1495532180,2,0
1495546100,1,0
1495548986,0,1
1495570108,1,1
1495572024,0,1
1495575622,1,0
1495576106,0,1
1495576579,1,0
1495577305,1,0
1495578741,1,0
1495579221,0,1
1495588340,0,1
1495589301,1,0
1495589782,0,1
1495590259,1,0
1495610184,0,3
1495622186,1,1
1495656507,1,1
1495665624,0,1
1495668028,1,0
1495674268,0,1
1495674742,1,2
1495675222,1,0
1495678102,0,1
1495692501,0,1
1495695865,1,2
1495697305,0,1
1495698260,0,1
1495698743,0,1
1495700667,1,0
1495701863,1,0
1495704506,0,1
1495704981,1,0
1495711223,0,1
1495720581,1,0
1495733062,0,1
1495741223,0,1
1495741704,1,0
1495754665,1,0
1495760902,1,0
1495761388,1,1
1495762347,1,0
1495763307,0,1
1495764268,1,1
1495764739,1,0
1495765699,1,0
1495777225,0,1
1495777708,1,0
1495792579,0,1
1495803862,0,1
1495814659,1,0
1495826187,0,1
1495844908,0,1
1495845383,1,0
1495848022,0,1
1495848500,1,0
1495849939,0,2
1495850659,0,1
1495858823,1,0
1495874182,0,1
1495874659,1,0
1495894823,0,1
1495895300,1,0
1495913541,0,1
1495933705,1,1
1495934181,1,0
1495935143,1,0
1495935624,1,0
1495944741,1,1
1495978819,1,1
1495979306,0,1
1496017225,0,1
1496017700,1,0
1496020340,0,1
1496020829,1,0
1496028744,1,0
1496034739,0,1
1496035221,1,0
1496039779,0,1
1496046265,0,1
1496047222,1,0
1496051059,1,0
1496062101,0,1
1496073862,1,0
1496082023,0,1
1496082502,1,0
1496086823,0,1
1496087304,1,0
1496106742,0,1
1496107229,2,0
1496107703,1,0
1496108181,0,1
1496108659,1,0
1496127861,0,1
1496132177,8,0
1496147054,2,2
1496157379,0,1
1496157854,1,0
1496176338,2,0
