DateTime,AddedIPs,RemovedIPs
1494491111,5,0
1494491409,2,0
1494491708,15,0
1494492009,5,0
1494492308,1,0
1494496508,1,0
1494501908,1,0
1494502208,2,0
1494505508,0,1
1494507308,5,0
1494507608,27,0
1494507909,8,0
1494510609,1,0
1494510908,1,0
1494513608,0,1
1494513908,1,0
1494516008,1,0
1494517808,2,0
1494521109,1,0
1494525608,1,0
1494525908,1,0
1494526209,1,0
1494527708,2,0
1494529808,0,1
1494535508,1,0
1494536408,1,0
1494537609,165,0
1494539708,0,1
1494547209,1,0
1494548709,2,0
1494550808,1,0
1494551108,4,0
1494552009,1,0
1494553208,1,0
1494564608,1,0
1494565208,1,0
1494566108,0,1
1494566715,0,1
1494567009,0,1
1494572108,0,1
1494583208,1,0
1494583508,0,3
1494584108,1,0
1494584409,0,3
1494584709,1,0
1494585308,0,1
1494592210,1,0
1494596109,1,0
1494608408,1,0
1494609009,1,0
1494611708,0,1
1494615008,0,2
1494615308,1,1
1494616208,1,0
1494616508,0,1
1494620108,1,0
1494634809,1,0
1494642008,0,1
1494647708,0,1
1494650409,0,1
1494658808,1,0
1494664809,1,0
1494674108,1,1
1494676808,1,0
1494680108,0,1
1494681910,1,0
1494682808,1,0
1494683108,1,0
1494683408,1,0
1494684008,1,0
1494684607,2,0
1494684908,2,0
1494685208,1,0
1494685510,2,0
1494686709,1,0
1494688208,1,0
1494690008,2,0
1494690308,1,0
1494701709,1,0
1494705008,1,1
1494706509,1,0
1494708908,0,1
1494716108,1,0
1494717008,0,1
1494718209,1,0
1494720308,1,0
1494720908,2,1
1494721514,1,0
1494729009,1,0
1494729308,1,0
1494731408,1,0
1494745808,0,1
1494753308,0,1
1494759608,1,0
1494759908,0,1
1494765308,1,0
1494767108,0,1
1494778509,0,1
1494779708,1,0
1494782408,1,0
1494785108,0,1
1494788709,0,1
1494789308,1,0
1494789609,1,0
1494789909,1,0
1494792909,1,0
1494796208,0,1
1494798009,1,0
1494799209,1,0
1494801309,0,1
1494804310,1,0
1494804608,1,0
1494810009,0,1
1494810909,0,1
1494813308,1,0
1494815409,0,1
1494816908,0,1
1494818408,1,0
1494824408,1,0
1494830408,1,0
1494832808,1,0
1494839709,1,0
1494841809,0,1
1494844208,1,0
1494847809,1,0
1494848408,1,0
1494849009,2,0
1494849608,1,0
1494850508,1,0
1494851408,1,0
1494852609,1,0
1494853208,1,0
1494853509,2,0
1494854108,1,0
1494854409,3,0
1494854707,1,0
1494855608,1,0
1494856508,2,0
1494857408,0,1
1494864009,0,1
1494871509,0,1
1494875109,1,0
1494875409,1,0
1494879308,1,0
1494879609,0,1
1494885609,1,0
1494886508,1,0
1494890108,0,1
1494891608,1,1
1494903608,2,0
1494903909,0,1
1494906309,0,1
1494907808,0,1
1494910809,1,0
1494911409,0,1
1494912009,0,1
1494915308,0,1
1494918009,1,0
1494918309,3,0
1494924608,1,0
1494934209,3,0
1494934508,1,0
1494934809,1,0
1494935408,2,0
1494936009,1,0
1494936309,1,0
1494936608,1,0
1494938108,1,0
1494939308,1,0
1494941109,1,0
1494953409,1,0
1494953708,1,0
1494954009,2,0
1494954608,1,0
1494958508,0,1
1494960609,0,1
1494963910,1,0
1494964508,3,0
1494964808,1,0
1494965108,1,0
1494965409,1,0
1494965708,2,0
1494966608,1,0
1494971708,1,0
1494973208,1,0
1494974408,0,1
1494978008,1,0
1494987608,0,1
1494990608,1,0
1495003208,0,1
1495003809,1,0
1495004108,1,0
1495010408,0,1
1495022108,0,1
1495027809,1,0
1495030508,1,0
1495033508,1,0
1495038608,1,0
1495043108,1,0
1495045208,0,1
1495053309,1,0
1495062308,0,3
1495069809,3,0
1495070108,4,0
1495070408,17,0
1495070710,6,0
1495071008,0,1
1495074609,0,1
1495075509,0,1
1495080008,0,1
1495089608,1,0
1495094707,18,0
1495095308,1,0
1495095608,1,0
1495096208,12,0
1495096509,169,0
1495097409,48,0
1495097708,13,0
1495098009,4,0
1495103408,1,0
1495108808,1,0
1495115109,1,0
1495117810,0,1
1495118108,0,1
1495118408,1,0
1495134609,0,1
1495141209,1,0
1495148110,0,1
1495158608,0,1
1495160709,1,0
1495175111,0,1
1495179910,8,0
1495180508,5,0
1495180808,8,0
1495181108,16,0
1495181409,84,0
1495184409,1,0
1495188308,1,0
1495193409,1,0
1495197009,0,1
1495198812,1,0
1495201808,0,1
1495209608,1,0
1495209908,1,0
1495210508,1,1
1495210808,1,0
1495211112,1,1
1495211409,2,0
1495212908,0,1
1495214708,0,1
1495219209,1,0
1495219508,1,0
1495221009,1,0
1495221911,1,0
1495223408,0,1
1495224908,0,2
