DateTime,Entries,UniqueIPs
1493670076,422,422
1493673880,407,407
1493677748,446,446
1493681571,448,448
1493685399,446,446
1493689284,449,449
1493693098,449,449
1493696950,445,445
1493700793,450,450
1493704619,447,447
1493708586,450,450
1493712546,443,443
1493716403,436,436
1493720248,442,442
1493724199,449,449
1493727917,448,448
1493731720,444,444
1493735417,433,433
1493739276,439,439
1493742999,431,431
1493746867,446,446
1493750741,449,449
1493754556,449,449
1493758398,441,441
1493762205,444,444
1493766134,442,442
1493769955,450,450
1493773757,442,442
1493777577,447,447
1493781434,451,451
1493785284,447,447
1493789076,438,438
1493792920,445,445
1493796802,448,448
1493800642,446,446
1493804474,438,438
1493808284,447,447
1493812135,436,436
1493827891,444,444
1493835615,445,445
1493839340,438,438
1493847045,432,432
1493854845,446,446
1493858676,443,443
1494168784,199,199
1494172574,207,207
1494176522,216,216
1494180293,225,225
1494184127,237,237
1494187972,242,242
1494192061,255,255
1494195887,260,260
1494199737,263,263
1494203572,274,274
1494207410,278,278
1494211238,279,279
1494215099,282,282
1494218926,279,279
1494222754,283,283
1494226615,286,286
1494230538,282,282
1494234635,272,272
1494238399,266,266
1494242208,260,260
1494246060,260,260
1494249895,261,261
1494253733,256,256
1494257628,255,255
1494261448,255,255
1494265262,255,255
1494269099,254,254
1494272925,254,254
1494276791,251,251
1494280613,240,240
1494284566,238,238
1494288300,247,247
1494292172,249,249
1494296054,255,255
1494299816,259,259
1494303664,263,263
1494307542,265,265
1494311355,263,263
1494315193,258,258
1494319025,260,260
1494322850,261,261
1494326684,263,263
1494330531,265,265
1494334382,269,269
1494338323,267,267
1494342121,268,268
1494346140,262,262
1494349981,256,256
1494353812,249,249
1494357660,249,249
1494361484,245,245
1494365333,248,248
1494369170,246,246
1494373018,245,245
1494376857,249,249
1494380685,251,251
1494384532,249,249
1494388373,239,239
1494392195,235,235
1494396131,236,236
1494399898,240,240
1494407578,235,235
1494415246,232,232
1494419079,238,238
1494434352,235,235
1494438127,228,228
1494441889,220,220
1494445735,230,230
1494449587,240,240
1494453358,240,240
1494457311,242,242
1494465186,248,248
1494469011,248,248
1494472857,247,247
1494476680,252,252
1494480551,263,263
1494484389,296,296
1494488213,299,299
1494492054,279,279
1494495880,273,273
1494499727,262,262
1494503584,250,250
1494507409,251,251
1494515088,268,268
1494522780,254,254
1494526601,248,248
1494530485,277,277
1494542207,303,303
1494549882,307,307
1494553718,267,267
1494557577,258,258
1494561429,335,335
1494565322,445,445
1494569089,447,447
1494572936,442,442
1494576759,439,439
1494580616,423,423
1494584455,391,391
1494595975,342,342
1494599809,326,326
1494603639,322,322
1494607439,284,284
1494611346,301,301
1494615174,448,448
1494619022,447,447
1494622913,441,441
1494626936,450,450
1494630768,445,445
1494634630,445,445
1494638454,441,441
1494642284,434,434
1494646129,425,425
1494649992,392,392
1494653840,381,381
1494657648,330,330
1494661493,316,316
1494665330,275,275
1494669170,240,240
1494674214,449,449
1494678389,446,446
1494682142,445,445
1494686002,445,445
1494689820,448,448
1494693645,435,435
1494697481,408,408
1494701327,388,388
1494705200,370,370
1494709039,345,345
1494712991,430,430
1494716710,438,438
1494720571,443,443
1494724409,445,445
1494728221,420,420
1494732085,401,401
1494735889,377,377
1494739861,367,367
1494743571,304,304
1494747426,301,301
1494751579,441,441
1494755336,437,437
1494759197,437,437
1494763155,437,437
1494766996,434,434
1494770719,436,436
1494774522,433,433
1494778373,427,427
1494782204,418,418
1494786087,399,399
1494789896,391,391
1494793742,371,371
1494797590,437,437
1494801517,432,432
1494805313,431,431
1494809109,436,436
1494813025,445,445
1494816786,435,435
1494820653,144,144
1494824540,134,134
1494828307,152,152
1494832139,219,219
1494835985,273,273
1494839831,290,290
1494843689,264,264
1494847508,162,162
1494851452,181,181
1494855249,158,158
1494866930,223,223
1494870813,226,226
1494874692,157,157
1494878610,187,187
1494882372,390,390
1494897763,447,447
1494901609,448,448
1494905452,439,439
1494909293,439,439
1494921036,280,280
1494994240,270,270
1495009620,300,300
1495032799,438,438
1495067570,445,445
1495071419,448,448
1495075257,263,263
1495079131,256,256
1495082928,254,254
1495086786,190,190
1495090614,171,171
1495094558,163,163
1495098299,188,188
1495102148,168,168
1495105985,165,165
1495109822,230,230
1495113684,258,258
1495117486,261,261
1495121348,251,251
1495125194,252,252
1495129020,415,415
1495132846,436,436
1495136685,194,194
1495140516,156,156
1495144392,179,179
1495148330,171,171
1495155894,148,148
1495159762,199,199
1495163583,242,242
1495167388,283,283
1495171261,314,314
1495175095,299,299
1495178935,333,333
1495182787,353,353
1495186616,324,324
1495190441,303,303
1495194293,294,294
1495198115,199,199
1495201985,183,183
1495205830,186,186
1495209505,168,168
1495213320,186,186
1495217093,345,345
1495220937,381,381
1495224776,295,295
1495228587,283,283
1495232308,303,303
1495236111,192,192
1495239944,196,196
1495243801,165,165
1495247591,196,196
1495251466,232,232
1495255284,434,434
1495259154,439,439
1495263012,438,438
1495266883,429,429
1495270697,436,436
1495274638,439,439
1495278597,419,419
1495282421,410,410
1495286519,387,387
1495290342,338,338
1495294199,253,253
1495298054,256,256
1495305759,302,302
1495309559,300,300
1495313412,283,283
1495317209,258,258
1495321023,180,180
1495325004,169,169
1495328735,165,165
1495332581,180,180
1495336427,278,278
1495340297,301,301
1495344084,442,442
1495347910,440,440
1495351766,428,428
1495355600,403,403
1495359446,396,396
1495363268,386,386
1495367085,350,350
1495370953,445,445
1495374865,445,445
1495378671,442,442
1495382597,444,444
1495386333,432,432
1495390168,422,422
1495394112,404,404
1495397886,400,400
1495418681,397,397
1495422515,447,447
1495426373,446,446
1495430453,447,447
1495434277,442,442
1495438132,431,431
1495441980,408,408
1495445808,402,402
1495449644,363,363
1495453489,338,338
1495457337,297,297
1495461169,250,250
1495464996,243,243
1495468920,244,244
1495472684,244,244
1495476523,288,288
1495480353,443,443
1495484192,429,429
1495488067,441,441
1495492182,442,442
1495495973,445,445
1495499806,439,439
1495503639,438,438
1495507481,446,446
1495511572,443,443
1495515412,439,439
1495519346,445,445
1495523084,190,190
1495526930,160,160
1495530843,174,174
1495534616,181,181
1495538454,50,50
1495542263,272,272
1495546126,253,253
1495549990,312,312
1495553802,408,408
1495557619,302,302
1495561466,309,309
1495565329,134,134
1495569168,187,187
1495573004,161,161
1495576919,175,175
1495580936,211,211
1495584763,414,414
1495588581,216,216
1495592456,441,441
1495596281,429,429
1495600128,253,253
1495603956,199,199
1495607801,153,153
1495611653,182,182
1495615480,225,225
1495619330,243,243
